ages,male,female
0 - 4세,0.012824335,0.0122314
5 - 9세,0.018971687,0.018031088
10 - 14세,0.022559594,0.021374787
15 - 19세,0.022642452,0.021276316
20 - 24세,0.028721573,0.026133124
25 - 29세,0.036300683,0.031980868
30 - 34세,0.037452292,0.032416164
35 - 39세,0.033455176,0.030258604
40 - 44세,0.039989766,0.037758508
45 - 49세,0.037639612,0.036344199
50 - 54세,0.043527858,0.042651489
55 - 59세,0.040915699,0.041131424
60 - 64세,0.040246012,0.041126052
65 - 69세,0.032864908,0.03494529
70 - 74세,0.021019258,0.023864514
75 - 79세,0.014857259,0.018449533
80 - 84세,0.010024972,0.015537555
85 - 89세,0.004607963,0.009645463
90 - 94세,0.001191067,0.003805178
95 - 99세,0.000189581,0.000892619